Seth,Paladin
Franz,Paladin,Great Knight
Gilliam,General,Great Knight
Vanessa,Falcon Knight,Wyvern Knight
Moulder,Bishop,Sage
Ross,Berseker,Warrior,Hero
Garcia,Warrior,Hero
Neimi,Sniper,Ranger
Colm,Assassin,Rogue
Artur,Bishop,Sage
Lute,Sage,Mage Knight
Natasha,Bishop,Valkyrie
Joshua,Swordmaster,Assassin
Forde,Paladin,Great Knight
Kyle,Paladin,Great Knight
Tana,Falcon Knight,Wyvern Knight
Amelia,General,Great Knight,Paladin
Innes,Sniper
Gerik,Hero,Ranger
Tethys,Dancer
Marisa,Swordmaster,Assassin
L'Arachel,Valkyrie,Mage Knight
Dozla,Berserker
Saleh,Sage
Ewan,Sage,Mage Knight,Druid,Summoner
Cormag,Wyvern Lord,Wyvern Knight
Rennac,Rogue
Duessel,Great Knight
Knoll,Druid,Summoner
Myrrh,Manakete
Syrene,Falcon Knight